procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
32  0      0   1536      0 10925697    0    0     0     0 31136  898 94  0  6  0  0  0
32  0      0   1604      0 10925697    0    0     0     0 37238 1222 98  0  2  0  0  0
32  0      0   1360      0 10925695    0    0     0     0 32307  380 100  0  0  0  0  0
29  0      0   1360      0 10925695    0    0     0     0 31691  381 98  0  2  0  0  0
19  0      0   1896      0 10925693    0    0     0    12 25173  524 74  0 26  0  0  0
33  0      0    768      0 10832967    0    0     0     0 14187  731 39  1 60  0  0  0
32  0      0  22016      0 7520364    0    0     0     0 29108 5889 54 32 14  0  0  0
32  0      0    336      0 6723726    0    0     0     0 25520 2276 66  9 25  0  0  0
32  0      0   1080      0 6723694    0    0     0     0 26479 1606 77  0 23  0  0  0
33  0      0   1080      0 6723694    0    0     0     0 31487  929 97  0  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
32  0      0   1064      0 6723694    0    0     0    12 32485  290 100  0  0  0  0  0
32  0      0   1064      0 6723694    0    0     0     0 32316  433 100  0  0  0  0  0
32  0      0    488      0 6723694    0    0     0     0 32337  488 100  0  0  0  0  0
20  0      0   1000      0 6723694    0    0     0     8 28543  573 85  0 15  0  0  0
 5  0      0   1292      0 6723694    0    0     0     0 17923  412 49  0 50  0  0  0
32  0      0   1004      0 6723694    0    0     0     0 22781 1548 64  2 33  0  0  0
 1  0      0   2252      0 6723694    0    0     0    32 29316 1229 86  0 14  0  0  0
 1  0      0   2252      0 6723694    0    0     0     0 1152  244  3  0 97  0  0  0
 1  0      0   2012      0 6723694    0    0     0   176 1406  257  3  0 97  0  0  0
 1  0      0   2012      0 6723694    0    0     0     0 1135  186  3  0 97  0  0  0
 1  0      0   2012      0 6723694    0    0     0     0 1123  163  3  0 97  0  0  0
 1  0      0   2064      0 6723694    0    0     0     0 1223  371  3  0 97  0  0  0
 2  0      0   2064      0 6723694    0    0     0    12 1121  192  2  1 97  0  0  0
 1  0      0   2064      0 6723694    0    0     0     4 1113  155  2  1 97  0  0  0
 1  0      0   2180      0 6723694    0    0     0     0 1107  191  2  1 97  0  0  0
 1  0      0   2260      0 6723694    0    0     0     0 1175  287  3  0 97  0  0  0
 1  0      0   2260      0 6723694    0    0     0     0 1145  201  3  1 97  0  0  0
 1  0      0   2260      0 6723694    0    0     0     0 1117  174  3  1 97  0  0  0
 1  0      0   2260      0 6723694    0    0     0    12 1102  163  3  0 97  0  0  0
 1  0      0   2260      0 6723694    0    0     0     4 1182  280  3  0 97  0  0  0
 1  0      0   2260      0 6723694    0    0     0     0 1090  151  3  0 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 7945464      0 7185482    0    0     0     0 1189  260  1  3 97  0  0  0
 1  0      0 6290424      0 8840651    0    0     0     0 1153  282  0  3 97  0  0  0
 2  1      0 5541368      0 9589626    0    0     0 427088 3253  957  0  2 97  1  0  0
 1  1      0 5005304      0 10125544    0    0     0 474136 3492 1254  0  2 97  1  0  0
 1  1      0 4507128      0 10623684    0    0     0 466944 3273  657  0  3 96  1  0  0
 1  1      0 4031224      0 11099654    0    0     0 466952 3226  687  0  3 97  1  0  0
 1  1      0 3549176      0 11581685    0    0     0 466952 3305  876  0  2 97  1  0  0
 1  1      0 3070888      0 12060108    0    0     0 467084 3228  660  0  2 96  1  0  0
 0  2      0 2585256      0 12545708    0    0     0 475212 3227  687  0  3 97  1  0  0
 1  1      0 2110632      0 13020277    0    0     0 466948 3125  638  0  2 97  1  0  0
 1  1      0 1629864      0 13501192    0    0     0 466948 3296  839  0  3 96  1  0  0
 2  0      0 1152844      0 13978185    0    0     0 458756 3184  666  0  2 97  1  0  0
 1  2      0 672844      0 14458054    0    0     0 475428 3248  667  0  3 96  1  0  0
 1  1      0 194636      0 14936205    0    0     0 466948 3204  720  0  3 97  1  0  0
 0  2      0   1792      0 15129142    0    0     0 466948 3244  995  0  3 97  1  0  0
 1  1      0   1280      0 15129647    0    0     0 466948 3301 1111  0  3 97  1  0  0
 2  0      0   1280      0 15129727    0    0     0 466948 3235 1057  0  3 97  1  0  0
 1  2      0   1792      0 15129014    0    0     0 467156 3268 1055  0  3 97  1  0  0
 2  0      0   3584      0 15127387    0    0     0 458756 3339 1181  0  3 97  1  0  0
 1  1      0    768      0 15130217    0    0     0 468996 3340 1053  0  3 97  1  0  0
 1  1      0   1280      0 15129693    0    0     0 468780 3435 1126  0  3 96  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0   1280      0 15129836    0    0     0 468652 3408 1067  0  3 96  1  0  0
 1  1      0    256      0 15131029    0    0     0 459220 3357 1258  0  3 97  1  0  0
 2  0      0   1792      0 15129350    0    0     0 469260 3436 1172  0  3 96  1  0  0
 1  1      0   1536      0 15129334    0    0     0 475140 3335 1079  0  3 97  1  0  0
 2  1      0   2816      0 15128419    0    0     0 466948 3335 1134  0  3 97  1  0  0
 1  1      0   1792      0 15129389    0    0     0 466948 3314 1179  0  3 97  1  0  0
 0  2      0      0      0 15131374    0    0     0 463732 3298 1055  0  3 96  1  0  0
 2  0      0   1536      0 15129737    0    0     0 466080 3383 1060  0  3 96  1  0  0
 1  1      0    256      0 15131061    0    0     0 470652 3375 1068  0  3 97  1  0  0
 2  0      0   2304      0 15129030    0    0     0 467612 3394 1255  0  3 97  1  0  0
 1  1      0   1792      0 15129511    0    0     0 458756 3293 1073  0  3 96  1  0  0
 2  0      0 1481280      0 15128217    0    0     0 475240 3319 1174  0  3 96  1  0  0
 1  0      0 16571204      0 15128219    0    0     0 270408 2612  466  0  3 97  0  0  0
 1  0      0 14895428      0 15128219    0    0     0     0 1136  237  1  2 97  0  0  0
 1  0      0 13214788      0 15128219    0    0     0     0 1158  209  1  2 97  0  0  0
 1  0      0 11555652      0 15128219    0    0     0     0 1097  148  1  2 97  0  0  0
 1  0      0 9898324      0 15128219    0    0     0    48 1126  203  1  2 97  0  0  0
 1  1      0 8207188      0 15128219    0    0     0  8024 1170  258  1  2 97  0  0  0
 1  1      0 6555476      0 15128219    0    0     0 458424 3498  672  1  3 97  0  0  0
 2  0      0 4900180      0 15128219    0    0     0 459252 3545  799  1  3 96  0  0  0
 2  1      0 3241264      0 15128220    0    0     0 457792 3462  681  1  3 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
