rocs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0   2816      0 25860798    0    0 187904     0 1866 1614  1  2 97  1  0  0
 1  0      0 1235340      0 25129904    0    0 73472     0 1457 1183  1  2 97  0  0  0
 0  1      0 468620      0 25512880    0    0 382976     0 2503 2799  0  2 97  1  0  0
 0  1      0   1536      0 25610196    0    0 368896     0 2676 2774  0  2 97  1  0  0
 2  0      0   4608      0 25251930    0    0 355072     0 2482 2619  0  2 97  1  0  0
 1  0      0    768      0 24566983    0    0 196096    12 1858 1860  0  2 97  1  0  0
 1  0      0 1160260      0 23678565    0    0     0     0 1109  592  1  2 97  0  0  0
 1  0      0      0      0 23314049    0    0     0     0 1138  384  0  3 97  0  0  0
 1  0      0 1321488      0 22299130    0    0     0     0 1096  672  1  2 97  0  0  0
 1  0      0   4248      0 22299130    0    0     0     0 1162  253  1  2 97  0  0  0
 1  0      0   2048      0 21216096    0    0     0     0 1218 1029  1  2 97  0  0  0
 1  0      0   2816      0 20075745    0    0     0    12 1103  753  1  2 97  0  0  0
 1  0      0   1280      0 18934837    0    0     0     0 1155  857  1  2 97  0  0  0
 1  0      0   1792      0 17793205    0    0     0     0 1164  922  1  2 97  0  0  0
 1  0      0   1792      0 16634376    0    0     0     0 1101  867  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0    512      0 15474858    0    0     0     0 1095  886  1  2 97  0  0  0
 1  0      0   3328      0 14399663    0    0     0     4 1101  896  1  2 97  0  0  0
 1  0      0   1280      0 13382905    0    0     0    12 1213 1194  1  2 97  0  0  0
 1  0      0    256      0 12381664    0    0     0     0 1120  952  1  2 97  0  0  0
 1  0      0   2304      0 11327035    0    0     0     0 1099 1021  1  2 97  0  0  0
 1  0      0   1792      0 10271356    0    0     0     0 1095 1104  1  2 97  0  0  0
 1  0      0   1024      0 9228299    0    0     0     0 1171 1276  1  2 97  0  0  0
 1  0      0      0      0 8180808    0    0     0     0 1167 1332  1  2 97  0  0  0
 1  0      0   1536      0 7137450    0    0     0    12 1103 1148  1  2 97  0  0  0
 1  0      0    252      0 7133224    0    0     0 335880 2878 1499  0  4 95  2  0  0
 2  0      0    180      0 7133397    0    0     0 360452 2991 1567  0  4 94  2  0  0
 1  1      0    764      0 7132705    0    0     0 475140 3342 1316  0  3 94  3  0  0
 1  1      0    764      0 7132766    0    0     0 466948 3347 1329  0  3 94  3  0  0
 0  2      0    764      0 7132948    0    0     0 458872 3323 1252  0  3 94  3  0  0
